地点名,公園名,評価,口コミ数,緯度,経度
十三,野中北公園,3.1,23,34.7283947,135.4788221
十三,塚本南公園,3.4,13,34.7116756,135.4714368
十三,木川南公園,3.1,19,34.7236565,135.4931701
十三,淀川河川公園 西中島地区・十三野草地区),4.2,322,34.7137059,135.478349
十三,木川西公園,3.2,22,34.7245891,135.4887888
十三,田川北公園,3.3,15,34.7229512,135.4717096
十三,田川東公園,3.6,43,34.7231811,135.4755108
十三,田川中公園,3.5,23,34.7211924,135.4739471
十三,野中南公園（区民グラウンド）,3.8,58,34.7261279,135.4830886
十三,野中北１公園,3.2,31,34.7295035,135.4824354
十三,三津屋公園,3.9,41,34.7262707,135.470115
十三,淀川公園,5.0,1,34.7182658,135.4862349
十三,淀川河川公園 十三野草地区,4.1,15,34.7195584,135.4904978
十三,中津中央公園,3.6,95,34.7102417,135.4932601
十三,三津屋東公園,3.4,55,34.7300691,135.4739363
江坂,広芝公園,3.5,114,34.7571088,135.5028927
江坂,南吹田公園,3.6,176,34.7539619,135.5077459
江坂,金田公園,3.4,43,34.7589557,135.5071098
江坂,小曽根北公園,3.4,7,34.7642379,135.4876019
江坂,北条町４丁目公園,3.2,6,34.7653309,135.4877874
江坂,小曽根南公園,3.6,14,34.7547968,135.486239
江坂,豊津(とよつ)公園,3.5,167,34.7604966,135.4957302
江坂,五反島公園,3.4,48,34.7509463,135.499877
江坂,江の木公園,3.6,163,34.7568133,135.4945092
江坂,江坂公園,4.0,891,34.7590673,135.4997136
江坂,染の井公園,3.4,20,34.7638481,135.4888537
江坂,垂水上池公園,3.7,39,34.7668766,135.5078449
江坂,玉の井公園,3.5,23,34.7663114,135.5024268
江坂,榎阪大池公園,4.0,45,34.76641,135.4947637
江坂,小曽根５丁目第１公園,3.5,2,34.7571405,135.48706
江坂,下新田公園,0.0,0,34.7512601,135.5049396
江坂,ファミリーパーク芳野,0.0,0,34.7567303,135.4875609
江坂,豊南東公園,3.6,12,34.7507461,135.4857605
江坂,北条東公園,4.0,3,34.7667027,135.4874918
江坂,北条公園 (くじら公園),3.8,16,34.7657946,135.485791
心斎橋,久宝公園,3.3,155,34.6802035,135.5028217
心斎橋,立売堀公園,3.5,38,34.67803749999999,135.49048
心斎橋,新町南公園,3.7,71,34.6763761,135.4928324
心斎橋,阿弥陀池公園,3.8,102,34.6738111,135.489922
心斎橋,道仁公園,3.3,91,34.670522,135.5093667
心斎橋,新阿波座公園,3.3,104,34.6810469,135.4955402
心斎橋,堀江公園,3.8,587,34.6722632,135.4946807
心斎橋,新町北公園,3.6,135,34.6780717,135.4950503
心斎橋,東横堀公園,3.2,37,34.6827221,135.5103362
心斎橋,西横堀公園,2.2,5,34.6798127,135.4977149
心斎橋,高台橋公園,3.7,115,34.6723504,135.4898206
心斎橋,南堀江公園,3.7,3,34.6705134,135.4910997
心斎橋,稲荷町公園,3.3,24,34.6672281,135.489645
心斎橋,阿波座南公園,3.5,61,34.6797979,135.4916556
心斎橋,西横堀公園,3.6,5,34.675551,135.4908147
心斎橋,靱公園,4.1,3940,34.685196,135.4938226
心斎橋,三角公園（御津公園）,3.6,1057,34.6720688,135.4979236
心斎橋,靭公園 西園 遊戯広場,3.6,5,34.6836849,135.4896926
心斎橋,キャピトル新町南公園,0.0,0,34.6764851,135.4935872
心斎橋,南大江公園,3.7,225,34.678014,135.5133795
本町,靱公園,4.1,3940,34.685196,135.4938226
本町,西船場公園,3.7,81,34.6877831,135.4942723
本町,久宝公園,3.3,155,34.6802035,135.5028217
本町,立売堀公園,3.5,38,34.67803749999999,135.49048
本町,新町南公園,3.7,71,34.6763761,135.4928324
本町,阿弥陀池公園,3.8,102,34.6738111,135.489922
本町,新阿波座公園,3.3,104,34.6810469,135.4955402
本町,新町北公園,3.6,135,34.6780717,135.4950503
本町,花乃井公園,3.8,57,34.6857978,135.4898042
本町,京町堀公園,3.3,70,34.6874856,135.4977101
本町,西横堀公園,2.2,5,34.6798127,135.4977149
本町,阿波座南公園,3.5,61,34.6797979,135.4916556
本町,薩摩堀公園,3.3,40,34.680569,135.4882235
本町,西横堀公園,3.6,5,34.675551,135.4908147
本町,適塾史跡公園,3.8,4,34.6911868,135.5033716
本町,靱公園 東園,4.2,71,34.6852715,135.4946185
本町,靭公園 西園 遊戯広場,3.6,5,34.6836849,135.4896926
本町,靭公園 バラ園,4.2,1020,34.685779,135.4940901
本町,靭公園 東園 遊具コーナー,4.0,3,34.6849498,135.4945165
本町,キャピトル新町南公園,0.0,0,34.6764851,135.4935872
吹田,片山公園,3.9,237,34.7647677,135.5155957
吹田,大井池公園,3.8,27,34.76904800000001,135.5230604
吹田,原新池公園,3.6,38,34.77199340000001,135.5248205
吹田,片山北ふれあい公園,3.6,55,34.770025,135.516952
吹田,末広公園,3.6,21,34.7650052,135.5322629
吹田,いずみ公園,3.6,8,34.7618651,135.514803
吹田,いずみ南公園,3.8,16,34.7604893,135.5135396
吹田,新いずみ公園,3.1,14,34.7587868,135.5130826
吹田,吹一公園,3.4,46,34.7592965,135.5234087
吹田,安威川公園（足跡公園）,3.4,62,34.7601558,135.5313138
吹田,いずみの園公園,3.4,7,34.7603023,135.5157949
吹田,土の広場,3.8,63,34.7693252,135.5291945
吹田,健都レールサイド公園,4.2,264,34.7726182,135.532973
吹田,かすが遊園,3.3,4,34.7583556,135.5306399
吹田,南清和園第２遊園,3.7,7,34.7545876,135.5143746
吹田,吹東公園,2.4,9,34.765201,135.5359489
吹田,穂波公園,3.3,25,34.7564415,135.5116434
吹田,南清和園公園,3.7,20,34.7525338,135.5136281
吹田,幸町第3遊園,0.0,0,34.7668883,135.5343969
吹田,岸部中第２公園,3.8,17,34.7735908,135.5327173
