地点名,寺名,評価,口コミ数,緯度,経度
心斎橋,法案寺南坊,4.1,149,34.6694366,135.5075849
心斎橋,真宗大谷派 光禅寺,2.5,4,34.6769872,135.4900405
心斎橋,妙蓮寺,3.8,10,34.670908,135.5098399
心斎橋,萬福寺,4.3,51,34.671799,135.4946043
心斎橋,誓得寺,4.4,5,34.6737481,135.5057169
心斎橋,念佛宗 無量寿寺 大阪別院,4.7,24,34.6666666,135.4916698
心斎橋,大蓮寺,4.4,21,34.6655345,135.5114812
心斎橋,長円寺,3.8,4,34.6786321,135.5078832
心斎橋,応因寺,3.0,3,34.6802467,135.4895467
心斎橋,浄土真宗本願寺派 信楽寺(しんぎょうじ),4.0,4,34.6741082,135.5048251
心斎橋,淨國寺,4.3,33,34.66475,135.5115789
心斎橋,自安寺,4.6,18,34.6687592,135.5077218
心斎橋,和光寺,4.0,69,34.67402,135.488789
心斎橋,稱念寺（称念寺）,4.3,10,34.665018,135.5116995
心斎橋,三津寺仮本堂,4.0,2,34.6668236,135.5041992
心斎橋,齢延寺,3.8,72,34.6636512,135.5126777
心斎橋,浄徳寺,3.8,5,34.674328,135.487992
心斎橋,源聖寺,3.9,35,34.6637825,135.511567
心斎橋,瑞龍寺（鉄眼寺）,3.6,40,34.6642949,135.4972247
本町,真宗大谷派 光禅寺,2.5,4,34.6769872,135.4900405
本町,誓得寺,4.4,5,34.6737481,135.5057169
本町,高野寺,3.8,13,34.6892401,135.4921913
本町,浄徳寺,3.8,5,34.674328,135.487992
本町,長円寺,3.8,4,34.6786321,135.5078832
本町,和光寺,4.0,69,34.67402,135.488789
本町,応因寺,3.0,3,34.6802467,135.4895467
本町,浄土真宗本願寺派 信楽寺(しんぎょうじ),4.0,4,34.6741082,135.5048251
本町,常源寺,0.0,0,34.6831251,135.4880672
本町,萬福寺,4.3,51,34.671799,135.4946043
本町,阿弥陀池,3.9,28,34.674304,135.489016
本町,妙蓮寺,3.8,10,34.670908,135.5098399
本町,本遇寺,3.6,5,34.6928005,135.4856496
吹田,常光円満寺,4.5,248,34.7601127,135.5219698
吹田,光徳寺,3.5,13,34.7589285,135.5215205
吹田,玉林寺,3.5,4,34.7629926,135.5174337
吹田,徳善寺,4.3,4,34.7572048,135.5269525
吹田,浄念寺,4.6,5,34.7662491,135.522136
吹田,浄光寺,3.5,2,34.760939,135.517938
吹田,弘誓寺,4.0,2,34.7553953,135.5254947
吹田,大紘寺,0.0,0,34.7561577,135.5186817
吹田,城南山 本眞寺 吹田院,3.4,12,34.7589901,135.5263676
吹田,芳池山・蓮光寺,0.0,0,34.7581702,135.5278878
吹田,蓮光寺,3.0,1,34.7581728,135.5278994
吹田,宣法寺,3.1,8,34.753806,135.52542
吹田,浄土真宗本願寺派 正福寺（西本願寺）,3.3,4,34.7588401,135.5301537
吹田,如来寺 吹田別院,0.0,0,34.7589469,135.523401
吹田,大雄院,4.0,7,34.7570367,135.526584
吹田,照儀坊,3.0,2,34.7665881,135.5214242
吹田,常光円満寺 慈愛堂,0.0,0,34.7601125,135.5219931
吹田,観音寺,3.7,9,34.7561533,135.5282746
吹田,浄光寺,4.0,2,34.7525251,135.5184939
吹田,妙見寺,0.0,0,34.7532095,135.5252227
